d0,d1,d2,d3,d4,d5,d6,t0,t1,t2,t3,t4,t5,t6,,,,,,,
4.57239801577935E-10,2.85424486046093E-07,1.53254166779235E-06,2.68219860743981E-06,1.50956962685626E-06,5.81417412215232E-07,4.5379868043316E-06,2022-05-20,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-30,,,,,,,
2.87034866097624E-07,1.54144602881864E-06,2.69921086037952E-06,1.5242149551397E-06,5.90703060687588E-07,4.56328962372687E-06,1.61561652944883E-06,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-30,2022-05-31,,,,,,,
1.44835781057382E-06,2.41199109041182E-06,1.22052137285771E-06,3.83615189614024E-07,3.93442406854128E-06,1.25988248189644E-06,1.06839913716067E-06,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-30,2022-05-31,2022-06-01,,,,,,,
2.15332630149048E-06,8.14755068967393E-07,1.07244997105054E-07,2.71627689429899E-06,6.07426067000729E-07,4.89432627981362E-07,1.38311976094423E-07,2022-05-25,2022-05-26,2022-05-27,2022-05-30,2022-05-31,2022-06-01,2022-06-02,,,,,,,
6.36830791655951E-07,6.49882370138841E-09,1.66873836549009E-06,1.36907942982448E-07,7.89560525848842E-08,1.27471722067324E-09,6.36209593895678E-08,2022-05-26,2022-05-27,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,,,,,,,
5.57122348249538E-10,1.33944371683015E-06,3.09856516000711E-08,3.3859637316137E-09,6.94543524915487E-08,9.21345000288117E-10,6.5204643906478E-07,2022-05-27,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-06,,,,,,,
1.33551456915626E-06,2.9600792039711E-08,2.74809597300127E-09,7.29692715140568E-08,5.57122348250849E-10,6.62678112384276E-07,6.67368677875848E-07,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-06,2022-06-07,,,,,,,
7.96432275683831E-09,2.03486847372227E-08,3.04143399354565E-07,8.96725396160535E-08,1.30967237055314E-06,1.2965065840921E-06,8.89089975864063E-07,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-06,2022-06-07,2022-06-08,,,,,,,
2.22177851672083E-08,3.21003775560863E-07,1.0317549836719E-07,1.36742298040295E-06,1.35528741029857E-06,9.36609192203673E-07,2.84819902085509E-06,2022-06-01,2022-06-02,2022-06-03,2022-06-06,2022-06-07,2022-06-08,2022-06-09,,,,,,,
3.08994700049063E-07,8.76316699205897E-08,1.28377872088427E-06,1.25991593358256E-06,8.55881415740052E-07,2.70974818139535E-06,7.85069988773495E-06,2022-06-02,2022-06-03,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,,,,,,,
6.55751508649587E-08,1.0795176033086E-06,9.74008731669083E-07,5.92169905111504E-07,2.21130723421226E-06,7.00651725438221E-06,1.02431125716951E-05,2022-06-03,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-13,,,,,,,
1.04161503444733E-06,8.9032685313139E-07,4.99955055355312E-07,2.00319323884202E-06,6.62377189897271E-06,9.79123451205766E-06,2.89452516624153E-05,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-13,2022-06-14,,,,,,,
7.57244579041679E-07,2.85520025622462E-07,1.36046188203842E-06,5.23452937017956E-06,8.04815918109547E-06,2.59646948050915E-05,3.19464011353524E-05,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-13,2022-06-14,2022-06-15,,,,,,,
2.22581713282847E-07,1.03860601541328E-06,4.30829115405385E-06,6.72509537480437E-06,2.34881131433437E-05,2.9262625794724E-05,3.34264491721476E-05,2022-06-08,2022-06-09,2022-06-10,2022-06-13,2022-06-14,2022-06-15,2022-06-16,,,,,,,
9.70629233876252E-07,3.98316584715463E-06,6.14146144628514E-06,2.22251418657835E-05,2.7819768143367E-05,3.19226546432467E-05,7.61467305290258E-05,2022-06-09,2022-06-10,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,,,,,,,
